msa,Auto + Scale,Transit Propensity,Density,Sustainable Transit,Warm Weather,Remote + Active,Network Connectivity,Network Sprawl,Cluster
"Abilene, TX",-0.020768974199417502,-0.11663114169908734,-0.5677201264863997,-0.21571883125401262,1.0248306767496773,-0.19688610262375728,1.1381872843840382,1.3058394875175703,3
"Akron, OH",-0.595251402372768,-0.03270382405020677,2.3671342806057174,0.18177013675353323,-0.7144999539687633,-0.5385290870063395,0.4877866523073843,-0.20020119760059218,7
"Albany, GA",-0.2808105918482213,0.05653635463291557,-0.5901215698961544,-0.04473195306004263,1.3458772161865387,-0.471592824670969,0.8288848898227809,1.1036056354387636,3
"Albany-Lebanon, OR",-0.23498276985993347,0.06716165711315128,-1.1314924815395302,0.029690351548192072,-0.738240764010401,-0.13837705812101367,-0.9125213980216914,0.8688928912775199,1
"Albany-Schenectady-Troy, NY",0.2537695252631658,-0.14499434922262164,0.2791230217981322,-0.2783145638921288,-1.043975319454093,0.43358597058058707,0.40005587843273765,-0.4112226773863388,3
"Albuquerque, NM",1.0920083671081757,-0.43663714304829726,-1.0904698357417457,-0.4688961985586953,-0.4951842794358124,-0.010177585088036518,-0.21118565578033488,-0.9587230173477397,4
"Allentown-Bethlehem-Easton, PA-NJ",-0.18711175481516548,-0.1501301880527527,1.7894963858286144,-0.05218312096876763,-0.7795240968693355,-0.2896245628321272,0.7816258036316049,-0.42452113391333784,3
"Altoona, PA",-0.7410889325331881,0.13990541772724657,0.22069291300527485,0.08591938910626398,-0.7485129785777909,-0.4284972767400123,0.37578327877395434,-1.4563610771554085,5
"Amarillo, TX",0.24153297132528728,-0.1481247766007302,-1.1614108935721599,-0.24067951393468487,0.30578649923491974,-0.6823863737808677,1.5101169025415484,0.32576640714521715,3
"Ames, IA",-0.46820448788500146,-0.04410261521390824,-0.2561900753458957,-0.08720901541291758,-0.5786244474893526,1.4369348308282877,2.1532453054860268,1.4499541175910837,1
"Ann Arbor, MI",-0.8536502416972617,0.0050022934483821,1.1450535613791666,-0.017551376660967153,-0.6139696116672643,2.2728931029167807,0.21203420592400066,0.19194760180438553,7
"Anniston-Oxford, AL",-0.685374817308247,0.14868374215181535,0.7516379589934781,0.007939095876196591,0.5498365282601901,-1.3459517536172296,-0.23142249271947435,-0.772812322804116,5
"Appleton, WI",-0.431743788233021,0.005394401393274427,0.1253514677480878,-0.02707272040683809,-1.2193168906111473,-0.41171753641891295,0.7781023048344755,-0.7268954672889493,5
"Asheville, NC",-0.12233820155869553,-0.1666538977499303,0.8973868717951338,0.11100541818882896,-0.4654454827022819,-0.3091897335269742,-2.695919054135471,0.09363943936140036,3
"Athens-Clarke County, GA",-0.5517708704535258,0.045811498462090254,0.3239835464334669,-0.035141619924772084,0.8195898959994967,0.5523910712253826,-0.9288255803677726,0.853783183484135,5
"Atlanta-Sandy Springs-Alpharetta, GA",5.1549877658610965,-1.1698358080763793,0.8679353267717558,-0.1007292677094847,-0.2508493347391365,-0.6060022404217196,-1.659695208498224,0.6881375816092656,4
"Atlantic City-Hammonton, NJ",-0.8265423989369959,0.08382821319865531,0.9068000233551758,-0.015210113870069767,-0.0016135425857116688,0.8008007199105132,1.02753530622142,-1.0134793029591396,5
"Auburn-Opelika, AL",-0.6747640594095123,0.152673961042491,0.4769349058260704,0.0318601403346813,0.8056147154569228,-0.6475974420399496,-1.3816971716481,-0.1594955947677713,5
"Augusta-Richmond County, GA-SC",0.448893969921964,-0.23392739962928433,-0.02295586450517224,-0.38565729104842034,0.8148444850029651,-0.9701093162635169,-0.6263502389149976,0.2850542743046434,4
"Austin-Round Rock-Georgetown, TX",1.3707465992605872,-0.5610082276002488,0.9198396676798704,-0.5947642421208692,1.3819192565471266,1.5343945306123268,-0.005689705352076501,0.42131287299731496,4
"Bakersfield, CA",0.7077311244758226,-0.3338338603247601,-1.2105370702061615,0.28963271934951595,0.5567986038805922,-1.048020769499337,0.2417992223987555,-0.49577248878919444,4
"Baltimore-Columbia-Towson, MD",0.7063872439485401,0.5714471824072394,1.736216913056282,0.14521695395806858,0.024094726511592803,2.2530205721986962,-0.39663763510049066,0.4659187271079803,4
"Bangor, ME",-0.048581678962851454,-0.010673902820481352,-1.177064340038663,-0.0317853998050124,-1.1890548608045997,0.1272010807776206,-1.6432332960902318,1.9842303298488846,1
"Barnstable Town, MA",-0.6504046795442933,-0.028495186534404977,0.7440421406146667,-0.07152807572662817,-0.5012296228877074,1.0590342768072387,-0.08898349025059199,-1.7481159912357147,1
"Battle Creek, MI",-0.5465484662041801,0.08695968891219577,0.09141670651768373,0.007677676548020871,-0.8592844098329612,-0.5567130365693393,1.1280726179148592,-0.06433688336042585,5
"Bay City, MI",-0.6577256883163916,0.10365263543253705,0.35089144311024234,0.03585429201618225,-0.9191187897918989,-0.7186043333804588,1.4980254063345821,-0.19127600323802835,5
"Beaumont-Port Arthur, TX",0.07608465000404464,-0.06986914624502168,-0.20250620301731914,-0.20343547664959874,1.368472335644549,-1.3738370920484142,0.015225246571001284,-0.6575759476430405,3
"Beckley, WV",-0.38726983343181953,0.1317486986708984,-0.3403014081280069,0.00600698651324433,-0.460495945049033,-0.92734665909697,-2.0020379309462033,-0.01810596057625205,5
"Bellingham, WA",-0.44842835910600665,0.09922681966248817,-1.3057721541374616,0.02580483112394748,-1.275209525618339,1.1927356515644318,-0.958754131529574,-1.661434767284307,1
"Bend, OR",-0.34067270101613045,-0.07808870099112927,-1.1755138502041589,-0.069401375566314,-1.152183138725779,1.7487023500641266,0.010512233399009455,-1.2520135270702395,1
"Billings, MT",0.15321667946361997,-0.110839966119002,-1.4117383389243943,-0.1300324596144399,-1.2379538841148787,0.006438209035678777,-0.20249544894111182,1.1178431690650783,3
"Binghamton, NY",-0.38089586716191054,0.07483176993270639,-0.057171437110620595,-0.02255273867126944,-0.9507760047596129,-0.20170093772280998,-0.10925347453810658,0.5485688929902689,5
"Birmingham-Hoover, AL",1.2081273555929213,-0.5508258322882642,0.43604573768532956,-0.46573095615889804,0.3475614497475926,-1.4184762736957879,-1.1877951892943253,-0.3572025266382853,4
"Bismarck, ND",0.140771834496881,-0.10493370892849625,-1.3589048318493788,-0.061991748716823294,-1.2897020094702951,-0.32413637227577946,1.3206537110467025,2.822893554048566,1
"Bloomington, IL",-0.425918862571597,-0.014103133106237273,-0.14655159331757023,-0.059060070680792415,-0.4511123774851956,0.40132207990403435,1.3075422285705616,0.44124963888510027,3
"Bloomington, IN",-0.6654579231879479,0.07101477044358642,0.013152795287609634,0.0012693109957405658,-0.18640977038815143,1.1816411020337187,-0.6911801620828942,0.3185489150677344,5
"Bloomsburg-Berwick, PA",-0.584218051292514,0.06872731007565794,0.29810002443778694,0.015115850817182287,-0.6250956243637283,-0.3422128384558636,0.1983447972459691,0.8070902445140996,5
"Boise City, ID",0.7887907570534661,-0.41843392402088025,-1.461570875621035,-0.29110072031548995,-0.9737459432016802,0.41059816662917115,-0.3356902580847523,-1.2269765584351768,4
"Boston-Cambridge-Newton, MA-NH",2.121804044092953,0.6937788201368719,2.461147695674069,-0.3015757471041025,-0.764176147323627,3.277854915697416,0.05407511548899996,0.7904913411606145,4
"Bowling Green, KY",-0.2467459055688523,0.06052939535149823,-0.4051318888732771,-0.045057788884441737,0.1695375455512742,-0.7438239240221106,-1.0810670900476895,0.8841166248415657,3
"Bremerton-Silverdale-Port Orchard, WA",-1.0490823317795828,0.10876714298057141,1.3661598968782984,0.07638482572741281,-0.40005367984559687,2.275526121799374,-1.9742747638989917,0.18902769616230833,4
"Bridgeport-Stamford-Norwalk, CT",-0.9905143512183265,-0.08967218627028363,4.260505837154111,-0.0039825549219495784,-0.37958304576751284,1.974779969912294,-0.34243581803636614,1.5375035598252464,7
"Brownsville-Harlingen, TX",-0.3219160995973089,0.003525689939794506,-0.15649920340825302,-0.15809372449836276,2.4752740790814283,-0.037081211653069296,1.1111429310189525,-0.26447090737228696,3
"Brunswick, GA",-0.32178686868409223,0.059382547571744174,-0.525624829983456,-0.09152143014282497,1.5156850301583336,-0.42871889399356317,-0.5200086634752568,0.3548288178396019,3
"Buffalo-Cheektowaga, NY",0.009104542400938404,0.09060483354760343,0.07854328990494,0.14374085949360366,-0.9062367329192277,0.12051047321782159,1.1733952488088322,-1.1029453136056038,1
"Burlington, NC",-0.7975727176677485,0.1617462986991205,1.1765079249817154,0.07753524235773045,0.19562836715459553,-1.2104822490262646,-0.8760500499369474,-0.2633459605285438,5
"Burlington-South Burlington, VT",-0.47106966090393865,0.014380448298875923,-0.43712159874032985,-0.026212582972615334,-0.9644247764683671,1.539998944824208,-1.199346828699746,0.2473980552612691,1
"Canton-Massillon, OH",-0.5363783788816828,-0.008370456671173204,1.187155143022353,0.06181350064692549,-0.695506122473273,-0.6024703670532785,0.8589448330794753,-0.7609734437607337,5
"Cape Coral-Fort Myers, FL",-0.34235555396027245,-0.2701119839276084,2.923578212447121,-0.29232768692868233,2.391921912854593,0.4756608266289859,0.8901402310850977,0.7013491504370187,7
"Cape Girardeau, MO-IL",-0.2841386668374164,0.07045110077695566,-0.49499620219947726,-0.03504089013492905,0.11806027978966369,-0.7419857812475393,-0.8775040106830869,1.0562183082349685,3
"Carbondale-Marion, IL",-0.40738583298265557,0.03285649919375528,0.009940389370853687,-0.09479422982270379,-0.03471142898997643,-0.29518760515589754,-0.6444034078069952,-0.45227951360177926,3
"Casper, WY",-0.07574765910793944,-0.014019622146467856,-1.6343740652855483,-0.013370769936371912,-1.2243096079314566,0.014843424309416903,0.6400847524091462,1.0443296572269707,1
"Cedar Rapids, IA",-0.10525743129905128,-0.09548946022572126,-0.3311525812008896,-0.12995684235215027,-0.9649078689687522,-0.2950488993931752,1.2326402912695633,0.2901973244614499,3
"Chambersburg-Waynesboro, PA",-0.5227746297803616,0.08525654162408801,0.039640194043479356,0.029866607649974748,-0.3562598121363842,-0.4049158207675195,-0.24451258952975452,0.38260500486661597,5
"Champaign-Urbana, IL",-0.46671090839491003,-0.0417967813954454,-0.015804804354301313,-0.13961864484510036,-0.28742312853587026,1.6812666071144442,1.8861998963864104,0.9003884792612985,1
"Charleston, WV",-0.03508308441117793,0.010515674757454525,-0.40403415512288127,-0.14152174275851895,-0.10104227773228874,-0.5692312258934042,-2.064598818810728,0.8699175054277559,3
"Charleston-North Charleston, SC",0.28007914265955475,-0.20874560361106773,0.19478833012340926,-0.27742210001909323,1.0782928564152352,-0.013208847801834057,-0.9471926305680749,-0.38246338175105243,3
"Charlotte-Concord-Gastonia, NC-SC",2.533169422358821,-0.9000956029094351,1.0108492261338395,-0.9803998503073761,-0.04036227877389831,-0.49327083212105843,-1.363911574615643,0.21660909165183692,4
"Chattanooga, TN-GA",-0.05929742120666775,-0.1081103066889938,0.49128266803934123,0.0950867853350456,0.20632805579618,-0.7023259734223812,-1.2374611050375017,-0.1864021194276987,3
"Cheyenne, WY",-0.16370650569042586,-0.0005148669510758206,-1.3115286019964314,-0.018548916138122384,-1.0257443407867817,-0.1914818297090927,1.1989999443810138,0.4255203970958489,1
"Chicago-Naperville-Elgin, IL-IN-WI",5.628515104774932,1.6183267520017914,0.4278154421872882,-1.2762166590138453,-1.2590400933635952,1.7944185458202062,1.419278245101277,-0.16250971858981533,4
"Chico, CA",-0.39795486713637834,0.028201389866951563,-0.3726757372589378,-0.048869149026941304,0.7400479261441518,0.7171494962387049,-1.3266269164081361,0.37062634160971925,3
"Cincinnati, OH-KY-IN",1.5256028192954931,-0.4194286388619579,0.5289676063422682,-0.4877550798745738,-0.5668016905676864,-0.4366535061995318,-1.1781609459997828,0.0005362670474584956,4
"Clarksville, TN-KY",-0.0723509327185144,-0.007211901940459754,-0.29737438077274925,-0.1230805731789261,0.1964501138576184,-0.8970024845752244,-0.9320014174379606,0.5356777594170681,3
"Cleveland, TN",-0.5053172946614384,0.15924022783303307,-0.08498396650498982,0.037411511221688315,0.309669568805829,-1.0979910274884257,-1.0491047264751687,0.10981928961794203,5
"Cleveland-Elyria, OH",0.7223870036905395,0.06728789836483795,-0.020140850643139196,0.1834038741169414,-0.7873255205270094,0.26845064433596705,0.6775970909531037,-1.1854881375833584,4
"Coeur d'Alene, ID",-0.3686626051371901,0.0027707336414939557,-0.3215532594677242,-0.0205761929465292,-1.1931719079518333,-0.07099854572587408,-0.366248571320376,-0.04071623449246504,3
"College Station-Bryan, TX",-0.234609004581075,0.004671674717908893,-0.475123532812667,-0.11882426456138839,1.5157976314302997,0.1877569536019652,-0.2835616073742849,0.3662452098092757,3
"Colorado Springs, CO",0.09459946475138184,-0.22741650435945215,-0.012628356700877152,-0.20288404021466835,-1.374789507913916,0.7323625675157319,-0.24205428131311477,-1.5181471377285576,3
"Columbia, MO",-0.28353395355511585,-0.011914897806957118,-0.2460944477854562,-0.051642053176818616,-0.13362820075816137,0.01122510371304093,-0.7850875089855792,0.5664723658685599,3
"Columbia, SC",0.6785410688590183,-0.3766146372058897,0.3323084031106741,-0.44134151311997866,0.6109935960809482,-0.4662868017098392,-0.7860213885314858,0.41702363165224043,4
"Columbus, GA-AL",-0.038638715178294814,-0.05447182109845793,-0.4574326163774907,-0.19780257029137135,0.9563385038938316,-0.21637906124046824,-0.5350379228127573,0.2814202484412228,3
"Columbus, IN",-0.7151548755676741,0.10655598456605533,0.2531167602587261,0.045039314121772776,-0.32989339319102434,-0.44385456750139507,0.9076139526365864,-0.6024847564062219,5
"Columbus, OH",1.4207872159960169,-0.5257273385019084,0.35011621341605453,-0.07667734925737857,-0.8117715230751947,-0.24511716088484095,0.15383039570994317,-0.5412905640468121,4
"Corpus Christi, TX",-0.20086569033250157,-0.03134898970833928,-0.30766232403645427,0.044859381213053585,2.0879640472673238,-0.3997768947359122,1.4604306348555434,-0.3431732390264084,3
"Corvallis, OR",-0.8399270402791811,0.04705821700619294,-0.5468241717686568,0.040952247434123526,-0.14365933195515332,3.190973150744421,-1.0946140178895503,0.2767213542563586,1
"Crestview-Fort Walton Beach-Destin, FL",-0.23154241862533378,-0.018863029648228835,-0.511779769420442,-0.14217171129883072,1.4744677549749652,0.2724533145452583,-0.5443618430820948,-0.7894598400843944,3
"Cumberland, MD-WV",-0.5726975997561218,0.1581149647343434,-0.20470900286075877,0.04735696342218879,-0.3454670760228166,-0.540136217608366,-1.436485445568313,-0.3494526287533975,5
"Dallas-Fort Worth-Arlington, TX",6.538154954645557,-2.008315315234772,1.114954240925413,0.9695157476845545,-0.2538046932106218,-1.847710632177856,0.3215844849220185,0.1609923128061888,4
"Dalton, GA",-0.5268271815604891,0.1957963417272817,0.06551207673243843,0.06477273447394465,0.38551717268490726,-1.529383214374196,-1.2456541654094733,0.184896115710998,5
"Danville, IL",-0.4531578364418506,0.07422338410272061,-0.30738108773291495,-0.011463033021565124,-0.5032541978080142,-0.4823828696955949,0.9170244877807024,0.3617387574652271,5
"Daphne-Fairhope-Foley, AL",-0.2699495054349103,0.014106583596436897,-0.5014348725886487,-0.1200258052678768,1.415697607025494,-0.18301215210419272,-0.9329023230822954,-0.6863586967375805,3
"Davenport-Moline-Rock Island, IA-IL",-0.10668118843875234,-0.08166850022930369,-0.21288555159028236,0.2134294355988861,-0.7732097569387925,-0.7741804206532461,0.6875727103010696,-0.4349586378100158,1
"Dayton-Kettering, OH",-0.2962243264682861,-0.04511218853023475,2.01472909069227,-0.07831100359919485,-0.49823955021185384,-0.2938860707247855,0.47491908572085484,-0.3164214478554931,3
"Decatur, AL",-0.29165936455217845,0.10847829174798194,-0.23823764250402082,-0.0240566628229162,0.41469761859872073,-1.536486311482594,-0.5104002337826503,0.305836626515123,5
"Decatur, IL",-0.6096064186734935,0.11849399267317923,0.20753161577242926,0.01362143247741735,-0.46125362460434344,-0.7626147156699422,0.9839551678260277,-0.31220420328851123,5
"Deltona-Daytona Beach-Ormond Beach, FL",-0.11459172585348448,-0.1180993898396628,0.42188244690755744,-0.21603828962479968,2.02214082742143,0.6317508959456029,0.4862773187808348,-0.5844236228420598,3
"Des Moines-West Des Moines, IA",0.44636775598801665,-0.27146778089058243,-0.213281687833927,-0.3158204158388718,-0.8502583869212242,-0.20333833726057143,1.0969430768151165,-0.09082312671804323,4
"Detroit-Warren-Dearborn, MI",2.871866353920094,-0.6875183136648775,2.2770022831777212,-0.633288657490833,-1.4068361519427994,-0.4494001630585066,1.2539751761684519,-0.40584116566437606,4
"Dothan, AL",-0.18068837040172953,0.028158418651422542,-0.3028154497963954,-0.12703084222276723,1.2463476668428333,-1.290599245768892,0.47379132682410807,0.6245791827409031,3
"Dover, DE",-0.7608813328905514,0.21737471696782995,-0.20622628759582992,0.4896097399251347,0.1387651459972566,0.13488962843021535,-0.15854217624376876,-0.7440207051835521,4
"Dubuque, IA",-0.5924068658471993,0.08690841864751894,-0.19159905832309704,0.027487514335600545,-0.9430850783290402,-0.023532688348814723,-0.023730577179258437,-0.32681949521304154,5
"Duluth, MN-WI",0.7055146520573612,-0.3911246347650255,-1.36974759690667,-0.20506539160903833,-1.8787074053007167,-0.14501628245835574,-0.7487799249286532,1.2258694845813098,4
"Durham-Chapel Hill, NC",-0.05236760462238037,-0.10923226419752612,0.45170715633480496,-0.19546439799430507,0.4070085890799937,1.1105952539419202,-1.467876334005732,0.500696890830858,3
"East Stroudsburg, PA",-0.78387601985604,0.09014321676488717,1.3349023623873357,0.019378280571967152,-0.9581482652544414,-0.26315487589957093,-0.9383225420718054,-0.12363763887355775,5
"Eau Claire, WI",-0.23084204506627157,-0.0694542534788893,-0.37907424112161375,-0.09608773307696285,-1.30080923035802,0.04755824455053273,0.44641943244815885,0.4869892034480995,3
"El Centro, CA",-0.11216968550824939,-0.06088112458485002,-1.3188611010549327,-0.18608210643126027,2.6439786307999764,0.7258274839385499,2.0807220867879086,1.3860468750299062,3
"El Paso, TX",0.3973251593552791,-0.2373344094102472,-0.9674483130459618,0.23060338336836628,0.8541001684768117,-0.4821152209245198,0.9854686886081585,-0.8884090138222938,4
"Elizabethtown-Fort Knox, KY",-0.36694890781125844,0.11587789919832873,-0.2624018348518843,0.026564185424172722,-0.059401231755056606,-0.842920784254227,-1.3769768047344326,0.5667231711265468,5
"Elkhart-Goshen, IN",-0.7997914959504471,0.09773159317341111,1.2505370966747855,0.05096602708135149,-0.8243971858411784,-0.8134940209574298,0.6430575554970952,-0.625915526069451,5
"Elmira, NY",-0.6798344686764258,0.1426176826534681,0.0839784208661057,0.06319114612225245,-0.9182089235581505,-0.4169840617368784,0.4892377058987681,-0.1953706477211506,5
"Enid, OK",-0.32063782691714565,0.04118436959145205,-0.55602275441906,-0.032994378168234716,0.40990656874263065,-0.6489886014631085,2.203762029200298,1.4238136027255743,3
"Erie, PA",-0.3976908759362319,0.07747310522152272,-0.6965083477889182,0.02324709577262447,-0.8081815834180024,0.08730036942314032,1.6019582892222772,-1.2571677624985245,1
"Eugene-Springfield, OR",-0.07852124841577,-0.06969543189335548,-1.0060030514113858,-0.08223954483036122,-0.599100015042394,1.6283036280622554,-1.3918852977365317,0.34291051213567525,1
"Evansville, IN-KY",-0.24439336060187467,0.017512440421335797,0.21003893141408048,-0.10389176871840107,-0.1105743988173106,-1.0161623433826408,0.01036230174995259,-0.2801551433104216,3
"Fargo, ND-MN",0.07115953286431685,-0.15048935717372253,-0.7861795658577949,-0.1581607091354555,-1.548277716680387,-0.09564529769459396,2.042821551462493,1.2359016947977353,3
"Farmington, NM",0.2282961573085065,-0.07888551969091578,-1.2042382018022848,-0.1597927370448705,-0.3718806353803193,-0.9501369356605178,-1.2441516528781174,1.7723829591805746,3
"Fayetteville, NC",-0.20495033732907042,-0.022890707287206533,0.7276570519457611,-0.1295057422630747,0.6024170924151329,-0.5857861953296911,-1.2653045393505988,-0.04660047164633002,3
"Fayetteville-Springdale-Rogers, AR",0.18223105280357962,-0.18227869199062494,0.1751895122665291,-0.2639941850578611,-0.02849272905428708,-0.7715798386340949,-0.9637151393102228,-0.10300194276183088,3
"Flagstaff, AZ",0.4765589532495428,-0.3313485106651366,-1.3834601046147657,-0.27018032218758664,0.3047700355924588,1.7399748077530308,-1.1757847034238895,5.859771929275994,1
"Flint, MI",-0.8306765652186188,0.10495768532610449,1.8315674657500827,0.36136125031112454,-0.922998404038923,-0.8871254806815198,0.7935949185641297,-0.5670220368244561,7
"Florence, SC",-0.3007091911694098,0.04731173011991665,0.3063247333428905,-0.10829646765774771,0.8498803547017021,-1.2663078128790441,-0.7682699362829158,0.3179349873850096,3
"Florence-Muscle Shoals, AL",-0.3401266431885453,0.07410322815771098,-0.10422661480132239,-0.06101192534928252,0.42103490257811493,-1.1930574638501084,-0.307972182728257,-0.3744730735713964,5
"Fond du Lac, WI",-0.45848229992787515,0.07564291734444137,-0.27190883309616964,0.02344735625696325,-1.0900367439736967,-0.5556799969843251,0.19901353410543723,0.2683557431582368,5
"Fort Collins, CO",-0.3272669905590396,-0.1164206880188665,-0.8286761290029474,0.0024457345628487105,-1.4003130374277786,1.8819679527615747,-0.1952644755090163,-1.6762190365182281,1
