Agency,City,State,County,Diesel (gal),Gasoline (gal),"Liquefied
"Johnson County Kansas, dba: Johnson County Transit",Olathe,KS,Johnson,231390,54533,0,69067,0,0,0,0,Johnson,"Kansas City, MO-KS"
Erie Metropolitan Transit Authority,Erie,PA,Erie,305979,187707,0,133824,0,0,0,0,Erie,"Erie, PA"
"Prince George's County, Maryland, dba: Prince George's County Transit",Largo,MD,Prince George's,901878,38138,24977,0,0,0,0,0,Prince George's,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
Santa Cruz Metropolitan Transit District,Santa Cruz,CA,Santa Cruz,133095,62960,0,545322,0,0,0,0,Santa Cruz,"Santa Cruz-Watsonville, CA"
Birmingham-Jefferson County Transit Authority,Birmingham,AL,Jefferson,4370,0,0,903948,0,0,0,0,Jefferson,"Birmingham-Hoover, AL"
"Lee County Transit, dba: Lee County Transit",Fort Myers,FL,Lee,560039,52908,233028,0,0,0,0,0,Lee,"Cape Coral-Fort Myers, FL"
"Suburban Transit Corporation, dba: Coach USA",New Brunswick,NJ,Middlesex,266856,0,0,0,0,0,0,0,Middlesex,"New York-Newark-Jersey City, NY-NJ-PA"
Whatcom Transportation Authority,Bellingham,WA,Whatcom,354935,82976,49438,0,0,0,0,0,Whatcom,"Bellingham, WA"
"Central Midlands Regional Transportation Authority, dba: The COMET",Columbia,SC,Richland,0,4104,332245,0,434518,0,0,0,Richland,"Columbia, SC"
Worcester Regional Transit Authority,Worcester,MA,Worcester,323330,113996,0,0,0,0,0,163200,Worcester,"Worcester, MA-CT"
Virginia Railway Express,Alexandria,VA,Alexandria,1430638,0,0,0,0,0,0,0,Alexandria,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
Laketran,Painesville,OH,Lake,301158,32215,175346,0,0,0,0,0,Lake,"Cleveland-Elyria, OH"
Connecticut Department of Transportation - CTTRANSIT New Haven Division,Hartford,CT,Capitol,1021682,0,0,0,0,0,0,0,,
SunLine Transit Agency,Thousand Palms,CA,Riverside,0,11395,0,1227911,0,55593,0,277105,Riverside,"Riverside-San Bernardino-Ontario, CA"
"The Eastern Contra Costa Transit Authority, dba: Tri Delta Transit",Antioch,CA,Contra Costa,521476,129220,0,0,0,0,0,165177,Contra Costa,"San Francisco-Oakland-Berkeley, CA"
"Cobb County, dba: CobbLinc",Marietta,GA,Cobb,878591,0,0,17785,0,0,0,0,Cobb,"Atlanta-Sandy Springs-Alpharetta, GA"
"Arlington County, Virginia, dba: Arlington Transit",Arlington,VA,Arlington,0,24754,0,712566,0,0,0,0,Arlington,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
Santa Barbara Metropolitan Transit District,Santa Barbara,CA,Santa Barbara,585298,0,0,0,0,0,0,228171,Santa Barbara,"Santa Maria-Santa Barbara, CA"
MetroWest Regional Transit Authority,Framingham,MA,Middlesex,0,138686,0,106002,0,0,0,0,Middlesex,"Boston-Cambridge-Newton, MA-NH"
Metropolitan Tulsa Transit Authority,Tulsa,OK,Tulsa,101722,30121,0,534007,0,0,0,0,Tulsa,"Tulsa, OK"
Antelope Valley Transit Authority,Lancaster,CA,Los Angeles,415615,37677,0,0,0,0,0,4757622,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
"Loudoun County, dba: Loudoun County Transit",Leesburg,VA,Loudoun,581074,156600,0,0,0,0,0,0,Loudoun,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
"Greater Peoria Mass Transit District, dba: CityLink",Peoria,IL,Peoria,0,166395,0,0,507044,0,0,0,Peoria,"Peoria, IL"
Golden Empire Transit District,Bakersfield,CA,Kern,0,15557,0,1392774,0,0,0,0,Kern,"Bakersfield, CA"
"City of Durham, dba: GoDurham",Durham,NC,Durham,320862,208327,0,0,308279,0,0,0,Durham,"Durham-Chapel Hill, NC"
"City of Greensboro, dba: Greensboro Transit Authority",Greensboro,NC,Guilford,375053,304894,0,0,0,0,0,165852,Guilford,"Greensboro-High Point, NC"
"Rock Region Metropolitan Transit Authority, dba: Rock Region Metro",North Little Rock,AR,Pulaski,315451,125784,0,221510,0,0,203800,0,Pulaski,"Little Rock-North Little Rock-Conway, AR"
Skagit Transit,Burlington,WA,Skagit,172819,37641,53828,0,0,0,0,0,Skagit,"Mount Vernon-Anacortes, WA"
"Town of Chapel Hill, dba: Chapel Hill Transit",Chapel Hill,NC,Orange,430831,58641,0,0,0,0,0,0,Orange,"Durham-Chapel Hill, NC"
"City of Santa Clarita, dba: Santa Clarita Transit",Santa Clarita,CA,Los Angeles,77455,48644,0,808496,0,0,0,0,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
"Escambia County Board of County Commissioners, FL, dba: Escambia County Area Transit Authority",Pensacola,FL,Escambia,347907,134047,0,0,0,0,0,0,Escambia,"Pensacola-Ferry Pass-Brent, FL"
"Ride Connection, Inc.",Portland,OR,Multnomah,0,69808,0,0,0,0,0,0,Multnomah,"Portland-Vancouver-Hillsboro, OR-WA"
"City of Lubbock, dba: CITIBUS",Lubbock,TX,Lubbock,352774,106624,0,0,0,0,0,70400,Lubbock,"Lubbock, TX"
Marin County Transit District,San Rafael,CA,Marin,408339,231750,0,0,0,0,0,67433,Marin,"San Francisco-Oakland-Berkeley, CA"
"City of Torrance, dba: Torrance Transit System ",Torrance,CA,Los Angeles,0,24588,0,572880,0,0,0,0,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
"City of Lincoln, dba: StarTran",Lincoln,NE,Lancaster,178069,19792,0,237147,0,0,0,34944,Lancaster,"Lincoln, NE"
Enterprise - Denver,Highlands Ranch,CO,Douglas,0,31554,0,0,0,0,0,0,Douglas,"Denver-Aurora-Lakewood, CO"
Norwalk Transit District,Norwalk,CT,Western Connecticut,218708,99113,0,0,0,0,0,0,,
Charleston Area Regional Transportation Authority,North Charleston,SC,Charleston,508172,79926,0,0,0,0,0,145280,Charleston,"Charleston-North Charleston, SC"
Capital Area Transit System,Baton Rouge,LA,East Baton Rouge,714468,92053,0,0,0,0,0,55000,East Baton Rouge,"Baton Rouge, LA"
County of Lackawanna Transit System,Scranton,PA,Lackawanna,116482,99017,0,133399,0,0,0,0,Lackawanna,"Scranton--Wilkes-Barre, PA"
Riverside County Transportation Commission,Riverside,CA,Riverside,0,74517,0,0,0,0,0,0,Riverside,"Riverside-San Bernardino-Ontario, CA"
Brockton Area Transit Authority,Brockton,MA,Plymouth,272628,81008,0,0,0,0,0,0,Plymouth,"Boston-Cambridge-Newton, MA-NH"
Piedmont Authority for Regional Transportation,Greensboro,NC,Guilford,235173,95535,0,0,0,0,0,0,Guilford,"Greensboro-High Point, NC"
"JAUNT, Inc.",Charlottesville,VA,Charlottesville,0,211123,0,0,0,0,0,1584,Charlottesville,"Charlottesville, VA"
Southeastern Regional Transit Authority,New Bedford,MA,Bristol,333078,92442,0,0,0,0,0,0,Bristol,"Providence-Warwick, RI-MA"
"Ada County Highway District, dba: ACHD Commuteride",Boise,ID,Ada,0,77996,0,0,0,0,0,0,Ada,"Boise City, ID"
"City of Knoxville, dba: Knoxville Area Transit",Knoxville,TN,Knox,647804,166976,0,0,0,0,0,0,Knox,"Knoxville, TN"
Port Authority Transit Corporation,Lindenwold,NJ,Camden,0,0,0,0,0,0,32179173,0,Camden,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
"Port Imperial Ferry Corporation, dba: NY Waterway",Weehawken,NJ,Hudson,1199582,0,0,0,0,0,0,0,Hudson,"New York-Newark-Jersey City, NY-NJ-PA"
Chatham Area Transit Authority,Savannah,GA,Chatham,33395,162431,0,0,425654,0,0,0,Chatham,"Savannah, GA"
Merrimack Valley Regional Transit Authority,Haverhill,MA,Essex,355824,96795,0,0,0,0,0,0,Essex,"Boston-Cambridge-Newton, MA-NH"
"City of Appleton, dba: Valley Transit",Appleton,WI,Outagamie,162056,102594,0,0,0,0,0,0,Outagamie,"Appleton, WI"
Anaheim Transportation Network,Anaheim,CA,Orange,0,0,48785,72930,0,523575,0,124436,Orange,"Los Angeles-Long Beach-Anaheim, CA"
"Central Oklahoma Transportation and Parking Authority, dba: EMBARK",Oklahoma City,OK,Oklahoma,666301,818,0,297111,0,0,1559300,0,Oklahoma,"Oklahoma City, OK"
County of Maui,Wailuku,HI,Maui,335732,159210,0,0,0,0,0,0,Maui,"Kahului-Wailuku-Lahaina, HI"
"Rockland Coaches, Inc.",Paramus,NJ,Bergen,256059,0,0,0,0,0,0,0,Bergen,"New York-Newark-Jersey City, NY-NJ-PA"
"Central County Transportation Authority, dba: Metro Transit",Kalamazoo,MI,Kalamazoo,331721,86427,0,0,0,0,0,0,Kalamazoo,"Kalamazoo-Portage, MI"
"Lakeland Area Mass Transit District, dba: Citrus Connection",Lakeland,FL,Polk,204700,171713,0,0,0,0,0,0,Polk,"Lakeland-Winter Haven, FL"
Chattanooga Area Regional Transportation Authority,Chattanooga,TN,Hamilton,416359,116564,0,0,0,0,76000,222600,Hamilton,"Chattanooga, TN-GA"
Valley Regional Transit,Meridian,ID,Ada,4936,17572,0,435746,0,0,0,0,Ada,"Boise City, ID"
"City of Winston Salem, dba: Winston-Salem Transit Authority",Winston Salem,NC,Forsyth,480075,191657,0,0,0,0,0,0,Forsyth,"Winston-Salem, NC"
Gold Coast Transit District,Oxnard,CA,Ventura,0,17768,0,834797,0,0,0,0,Ventura,"Oxnard-Thousand Oaks-Ventura, CA"
"County of Sonoma, dba: Sonoma County Transit",Santa Rosa,CA,Sonoma,0,101281,0,333741,0,0,0,8034,Sonoma,"Santa Rosa-Petaluma, CA"
"Gwinnett County Board of Commissioners, dba: Gwinnett County Transit",Lawrenceville,GA,Gwinnett,508763,41249,0,0,0,0,0,0,Gwinnett,"Atlanta-Sandy Springs-Alpharetta, GA"
Lowell Regional Transit Authority,Lowell,MA,Middlesex,260876,73774,0,0,0,0,0,0,Middlesex,"Boston-Cambridge-Newton, MA-NH"
Connecticut Department of Transportation- CTTransit Waterbury- NET,Watertown,CT,Litchfield,293718,102393,0,0,0,0,0,0,,
Northern Indiana Commuter Transportation District,Chesterton,IN,Porter,0,0,0,0,0,0,18158000,0,Porter,"Chicago-Naperville-Elgin, IL-IN-WI"
Livermore / Amador Valley Transit Authority,Livermore,CA,Alameda,314256,23557,0,0,0,0,0,0,Alameda,"San Francisco-Oakland-Berkeley, CA"
Luzerne County Transportation Authority,Kingston,PA,Luzerne,244827,114074,0,37663,0,0,0,0,Luzerne,"Scranton--Wilkes-Barre, PA"
"City of Modesto, dba: Modesto Area Express",Modesto,CA,Stanislaus,508132,10716,0,0,0,0,0,690,Stanislaus,"Modesto, CA"
"Ames Transit Agency, dba: CyRide",Ames,IA,Story,309731,16010,0,0,11882,0,0,0,Story,"Ames, IA"
County of Howard,Ellicott City,MD,Howard,267490,139238,0,0,0,0,0,52714,Howard,"Baltimore-Columbia-Towson, MD"
"Springfield Mass Transit District, dba: Sangamon Mass Transit District",Springfield,IL,Sangamon,0,90905,0,237301,167039,0,0,0,Sangamon,"Springfield, IL"
"Ms Coast Transportation Authority, dba: Coast Transit Authority",Gulfport,MS,Harrison,130997,37195,4490,0,0,0,0,0,Harrison,"Gulfport-Biloxi, MS"
"Hill Country Transit District, dba: The Hop",San Saba,TX,San Saba,155293,101838,0,0,0,0,0,0,,
Kentuckiana Regional Planning and Development Agency,Louisville,KY,Jefferson,0,64152,0,0,0,16,0,0,Jefferson,"Louisville/Jefferson County, KY-IN"
Stark Area Regional Transit Authority,Canton,OH,Stark,211956,0,0,342409,0,21975,0,0,Stark,"Canton-Massillon, OH"
"Brazos Transit District, dba: The District",Bryan,TX,Brazos,94900,206093,0,0,0,0,0,0,Brazos,"College Station-Bryan, TX"
"South Florida Regional Transportation Authority, dba: TRI-Rail",Pompano Beach,FL,Broward,3006651,0,0,0,0,0,0,0,Broward,"Miami-Fort Lauderdale-Pompano Beach, FL"
"Washington County Transportation Authority, dba: Freedom Transit",Washington,PA,Washington,47481,223479,0,0,0,0,0,0,Washington,"Pittsburgh, PA"
"Somerset County, dba: Somerset County Transportation",Somerville,NJ,Somerset,22458,102084,0,0,0,0,0,0,Somerset,"New York-Newark-Jersey City, NY-NJ-PA"
"City of Arlington, dba: Handitran",Arlington,TX,Tarrant,16953,21759,0,0,0,0,0,0,Tarrant,"Dallas-Fort Worth-Arlington, TX"
DDOT - Progressive Transportation Services Administration,Washington,DC,District of Columbia,345567,0,0,0,0,0,1185958,1115207,District of Columbia,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
Duluth Transit Authority,Duluth,MN,St. Louis,354705,23419,0,0,0,0,0,480480,St. Louis,"Duluth, MN-WI"
"Bergen County, dba: Bergen County Community Transportation",Hackensack,NJ,Bergen,0,52648,0,0,0,0,0,0,Bergen,"New York-Newark-Jersey City, NY-NJ-PA"
"University of Georgia, dba: University of Georgia Transit System",Athens,GA,Clarke,253780,4530,0,0,0,0,0,31094,Clarke,"Athens-Clarke County, GA"
"Rock Island County Metropolitan Mass Transit District, dba: MetroLink",Moline,IL,Rock Island,57586,39663,0,534802,0,0,0,285717,Rock Island,"Davenport-Moline-Rock Island, IA-IL"
"Greater Lafayette Public Transportation Corporation, dba: CityBus",Lafayette,IN,Tippecanoe,89305,0,0,335196,0,0,0,0,Tippecanoe,"Lafayette-West Lafayette, IN"
SouthWest Transit,Eden Prairie,MN,Hennepin,137052,31263,0,0,0,0,0,0,Hennepin,"Minneapolis-St. Paul-Bloomington, MN-WI"
Greater Bridgeport Transit Authority,Bridgeport,CT,Greater Bridgeport,476251,1275,0,0,0,0,0,0,,
"City of Shreveport, dba: Shreveport Area Transit System",Shreveport,LA,Caddo,0,146460,0,287786,0,0,0,265760,Caddo,"Shreveport-Bossier City, LA"
Tompkins Consolidated Area Transit,Ithaca,NY,Tompkins,305611,43870,0,0,0,0,0,0,Tompkins,"Ithaca, NY"
Yuma County Intergovernmental Public Transportation Authority,Yuma,AZ,Yuma,1441,81264,0,0,159470,0,0,0,Yuma,"Yuma, AZ"
"City of Wichita, dba: Wichita Transit",Wichita,KS,Sedgwick,281514,87397,0,0,0,0,0,185000,Sedgwick,"Wichita, KS"
"Lakeland Bus Lines, Inc.",Dover,NJ,Morris,223164,0,0,0,0,0,0,0,Morris,"New York-Newark-Jersey City, NY-NJ-PA"
Western Contra Costa Transit Authority,Pinole,CA,Contra Costa,394579,31980,0,0,0,0,0,0,Contra Costa,"San Francisco-Oakland-Berkeley, CA"
"Senior Citizens United Community Services of Camden County, Inc.",Audubon,NJ,Camden,4238,60494,0,0,0,0,0,0,Camden,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
Rio Metro Regional Transit District,Albuquerque,NM,Bernalillo,43014,82867,0,0,792273,0,0,0,Bernalillo,"Albuquerque, NM"
"City of Yakima, dba: Yakima Transit",Yakima,WA,Yakima,178977,28063,0,0,0,0,0,0,Yakima,"Yakima, WA"
DeCamp Bus Lines,Montclair,NJ,Essex,119707,0,0,0,0,0,0,0,Essex,"New York-Newark-Jersey City, NY-NJ-PA"
Greater New Haven Transit District,Hamden,CT,New Haven,0,253845,0,0,0,0,0,0,New Haven,"New Haven-Milford, CT"
"Trans-Bridge Lines, Inc. ",Bethlehem,PA,Northampton,234713,0,0,0,0,0,0,0,Northampton,"Allentown-Bethlehem-Easton, PA-NJ"
Western Reserve Transit Authority,Youngstown,OH,Mahoning,287458,56240,0,0,0,0,0,0,Mahoning,"Youngstown-Warren-Boardman, OH-PA"
"Broome County, dba: Department of Transportation/BC Transit",Binghamton,NY,Broome,246230,53590,0,0,0,0,0,0,Broome,"Binghamton, NY"
"Alamo Area Council of Governments, dba: Alamo Regional Transit - ART",San Antonio,TX,Bexar,481,174167,0,0,0,0,0,0,Bexar,"San Antonio-New Braunfels, TX"
River Bend Transit,Davenport,IA,Scott,0,141782,0,0,0,0,0,0,Scott,"Davenport-Moline-Rock Island, IA-IL"
"City of Kenosha, dba: Kenosha Area Transit",Kenosha,WI,Kenosha,178960,23635,0,0,0,0,171840,0,Kenosha,"Chicago-Naperville-Elgin, IL-IN-WI"
San Bernardino County Transportation Authority,San Bernardino,CA,San Bernardino,0,52294,0,0,0,0,0,0,San Bernardino,"Riverside-San Bernardino-Ontario, CA"
"Wake County, dba: GoWake Access",Raleigh,NC,Wake,0,216671,0,0,0,0,0,0,Wake,"Raleigh-Cary, NC"
"St. Cloud Metropolitan Transit Commission, dba: Metro Bus",Saint Cloud,MN,Stearns,67539,0,0,344362,0,0,0,0,Stearns,"St. Cloud, MN"
Alternativa de Transporte Integrado -ATI,San Juan,PR,San Juan,170711,0,0,0,0,0,4009792,0,,
"Greater Roanoke Transit Company, dba: Valley Metro",Roanoke,VA,Roanoke,374747,50612,0,0,0,0,0,0,Roanoke,"Roanoke, VA"
"Greater Roanoke Transit Company, dba: Valley Metro",Roanoke,VA,Roanoke,374747,50612,0,0,0,0,0,0,Roanoke,"Roanoke, VA"
"City of Rochester, Minnesota, dba: Rochester Public Transit",Rochester,MN,Olmsted,0,13371,0,0,280000,0,0,0,Olmsted,"Rochester, MN"
Concho Valley Transit District,San Angelo,TX,Tom Green,6389,145814,0,0,0,0,0,0,Tom Green,"San Angelo, TX"
"Fort Bend County, Texas, dba: Fort Bend County Public Transportation",Richmond,TX,Fort Bend,82453,122449,0,0,0,0,0,0,Fort Bend,"Houston-The Woodlands-Sugar Land, TX"
"West Virginia University - Morgantown Personal Rapid Transit, dba: Morgantown Personal Rapid Transit",Morgantown,WV,Monongalia,0,0,0,0,0,0,3103051,0,Monongalia,"Morgantown, WV"
"Western Piedmont Regional Transit Authority, dba: Greenway Public Transportation",Conover,NC,Catawba,58519,90822,0,0,0,0,0,0,Catawba,"Hickory-Lenoir-Morganton, NC"
"City of Everett, dba: EVERETT TRANSIT SYSTEM",Everett,WA,Snohomish,185019,55784,0,0,0,0,0,617274,Snohomish,"Seattle-Tacoma-Bellevue, WA"
"Transit Joint Powers Authority for Merced County, dba: Merced The Bus",Merced,CA,Merced,230818,176117,0,0,0,0,0,0,Merced,"Merced, CA"
Saginaw Transit Authority Regional Service,Saginaw,MI,Saginaw,191357,38459,0,0,0,0,0,0,Saginaw,"Saginaw, MI"
"Cambria County Transit Authority, dba: CamTran",Johnstown,PA,Cambria,11978,63140,0,110774,0,0,69888,0,Cambria,"Johnstown, PA"
"City of Fort Collins, dba: Transfort",Fort Collins,CO,Larimer,3286,2167,0,401877,4564,0,0,0,Larimer,"Fort Collins, CO"
"County of Rockland, dba: Public Transportation - Transport of Rockland",New City,NY,Rockland,436962,41617,0,0,0,0,0,0,Rockland,"New York-Newark-Jersey City, NY-NJ-PA"
"Bay Metropolitan Transit Authority, dba: Bay Metro",Bay City,MI,Bay,100371,0,475,0,0,0,0,0,Bay,"Bay City, MI"
"First Tennessee Human Resource Agency, dba: N.E.T. Trans",Johnson City,TN,Washington,0,156174,38962,0,0,0,0,0,Washington,"Johnson City, TN"
"South Bend Public Transportation Corporation, dba: Transpo",South Bend,IN,St. Joseph,126450,39791,0,138903,0,0,0,0,St. Joseph,"South Bend-Mishawaka, IN-MI"
"Yolo County Transportation District, dba: Yolobus",Woodland,CA,Yolo,69572,1712,0,503687,0,0,0,2481,Yolo,"Sacramento-Roseville-Folsom, CA"
"Collier County, dba: Collier Area Transit",Naples,FL,Collier,331968,56547,0,0,0,0,0,0,Collier,"Naples-Marco Island, FL"
"County of Douglas, dba: Connect Douglas",Douglasville,GA,Douglas,0,81106,0,0,0,0,0,0,Douglas,"Atlanta-Sandy Springs-Alpharetta, GA"
Rockford Mass Transit District,Rockford,IL,Winnebago,343010,89926,0,0,0,0,0,0,Winnebago,"Rockford, IL"
"Town of Blacksburg, dba: Blacksburg Transit",Blacksburg,VA,Montgomery,282188,12413,0,0,0,0,0,0,Montgomery,"Blacksburg-Christiansburg, VA"
"City of Eau Claire, dba: Eau Claire Transit",Eau Claire,WI,Eau Claire,124251,16260,0,0,0,0,0,0,Eau Claire,"Eau Claire, WI"
"Manatee County Board of County Commissioners, dba: Manatee County Area Transit",Sarasota,FL,Sarasota,363170,22774,0,0,0,0,0,0,Sarasota,"North Port-Sarasota-Bradenton, FL"
San Luis Obispo Regional Transit Authority,San Luis Obispo,CA,San Luis Obispo,235551,77914,0,0,0,0,0,0,San Luis Obispo,"San Luis Obispo-Paso Robles, CA"
"Transit Authority of Central Kentucky, dba: TACK Transportation",Elizabethtown,KY,Hardin,5240,176637,0,0,0,0,0,0,Hardin,"Elizabethtown-Fort Knox, KY"
Lower Rio Grande Valley Development Council,Weslaco,TX,Hidalgo,120658,114440,0,0,0,0,0,0,Hidalgo,"McAllen-Edinburg-Mission, TX"
Santee Wateree Regional Transportation Authority,Sumter,SC,Sumter,18425,65151,4340,0,0,0,0,0,Sumter,"Sumter, SC"
"Fort Wayne Public Transportation Corporation, dba: Citilink",Fort Wayne,IN,Allen,298207,20802,0,0,0,0,0,0,Allen,"Fort Wayne, IN"
"City of Gardena, dba: GTrans",Gardena,CA,Los Angeles,153,434334,0,0,0,0,0,144279,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
New Mexico Department of Transportation,Santa Fe,NM,Santa Fe,0,68375,0,0,0,0,0,0,Santa Fe,"Santa Fe, NM"
"City of Elk Grove, dba: e-tran",Elk Grove,CA,Sacramento,0,508,0,265334,0,0,0,0,Sacramento,"Sacramento-Roseville-Folsom, CA"
"City of Decatur, Il, dba: Decatur Public Transit System",Decatur,IL,Macon,600,17396,0,0,342610,0,0,0,Macon,"Decatur, IL"
Rogue Valley Transportation District,Medford,OR,Jackson,60700,35102,0,213904,0,0,0,0,Jackson,"Medford, OR"
Chelan Douglas PTBA ,Wenatchee,WA,Chelan,196634,95814,15730,0,0,0,0,397760,Chelan,"Wenatchee, WA"
"Dutchess County, dba: Dutchess County Public Transit",Poughkeepsie,NY,Dutchess,224490,0,0,0,0,0,0,0,Dutchess,"Poughkeepsie-Newburgh-Middletown, NY"
Napa Valley Transportation Authority,Napa,CA,Napa,255742,82231,0,54637,0,0,0,0,Napa,"Napa, CA"
"North Front Range Transportation and Air Quality Planning Council, dba: North Front Range MPO / VanGo",Fort Collins,CO,Larimer,0,21415,0,0,0,0,0,0,Larimer,"Fort Collins, CO"
"Laredo Transit Management, Inc., dba: El Metro",Laredo,TX,Webb,279880,54123,0,295880,0,0,0,0,Webb,"Laredo, TX"
"Audubon Area Community Services, Inc.",Owensboro,KY,Daviess,152,180540,0,0,0,0,0,0,Daviess,"Owensboro, KY"
"Jefferson Parish, dba: Jefferson Transit",Gretna,LA,Jefferson,0,169,105450,0,392695,0,0,0,Jefferson,"New Orleans-Metairie, LA"
University of Michigan Parking and Transportation Services,Ann Arbor,MI,Washtenaw,272994,0,0,0,0,0,0,0,Washtenaw,"Ann Arbor, MI"
"City of Culver City, dba: Culver City Municipal Bus Lines (CityBus)",Culver City,CA,Los Angeles,0,0,0,836048,0,0,0,0,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
Southwestern Pennsylvania Commission,Pittsburgh,PA,Allegheny,0,29511,0,0,0,0,0,0,Allegheny,"Pittsburgh, PA"
"Cape Fear Public Transportation Authority, dba: Wave Transit",Wilmington,NC,New Hanover,68398,59493,0,224273,0,0,0,0,New Hanover,"Wilmington, NC"
Regional Transportation Authority,Madison,TN,Davidson,319405,19159,0,0,0,0,0,0,Davidson,"Nashville-Davidson--Murfreesboro--Franklin, TN"
Ventura County Transportation Commission,Camarillo,CA,Ventura,416353,38333,0,0,0,0,0,0,Ventura,"Oxnard-Thousand Oaks-Ventura, CA"
Portage Area Regional Transportation Authority,Kent,OH,Portage,118946,59471,0,31676,0,0,0,0,Portage,"Akron, OH"
"City of Mobile, dba: THE WAVE TRANSIT SYSTEM",Mobile,AL,Mobile,174986,155465,0,0,0,0,0,0,Mobile,"Mobile, AL"
Butte County Association of Governments,Chico,CA,Butte,202812,70590,0,33644,0,0,0,0,Butte,"Chico, CA"
"Staten Island Rapid Transit Operating Authority, dba: MTA Staten Island Railway",Staten Island,NY,Richmond,0,0,0,0,0,0,27982542,0,Richmond,"New York-Newark-Jersey City, NY-NJ-PA"
Northwest Alabama Council of Local Governments,Muscle Shoals,AL,Colbert,276,52172,0,0,0,0,0,0,Colbert,"Florence-Muscle Shoals, AL"
"Housatonic Area Regional Transit, dba: HARTransit",Danbury,CT,Western Connecticut,155020,101387,0,0,0,0,0,0,,
"Central Oregon Intergovernmental Council, dba: Cascades East Transit",Bend,OR,Deschutes,88431,63257,0,0,0,0,0,0,Deschutes,"Bend, OR"
"Hampton Jitney, Inc.",Calverton,NY,Suffolk,290389,0,0,0,0,0,0,0,Suffolk,"New York-Newark-Jersey City, NY-NJ-PA"
Connecticut Department of Transportation,Newington,CT,Hartford,1780907,0,0,0,0,0,0,0,Hartford,"Hartford-East Hartford-Middletown, CT"
Heart of Iowa Regional Transit Agency,Urbandale,IA,Polk,13676,114401,0,0,0,0,0,0,Polk,"Des Moines-West Des Moines, IA"
Kanawha Valley Regional Transportation Authority,Charleston,WV,Kanawha,331078,68980,0,0,0,0,0,0,Kanawha,"Charleston, WV"
"City of Harrisonburg, dba: Harrisonburg Transit",Harrisonburg,VA,Harrisonburg,173371,21524,0,0,0,0,0,0,Harrisonburg,"Harrisonburg, VA"
"Okaloosa County Board of County Commissioners, dba: Emerald Coast Rider",Crestview,FL,Okaloosa,1227,147269,0,0,0,0,0,0,Okaloosa,"Crestview-Fort Walton Beach-Destin, FL"
STAR Transit,Terrell,TX,Kaufman,0,212091,0,0,0,0,0,0,Kaufman,"Dallas-Fort Worth-Arlington, TX"
Connecticut Department of Transportation - CTTRANSIT Stamford Division,Hartford,CT,Capitol,377622,0,0,0,0,0,0,0,,
"Western Maine Transportation Services, Inc.",Auburn,ME,Androscoggin,16465,50352,0,0,0,0,0,0,Androscoggin,"Lewiston-Auburn, ME"
"Bloomington-Normal Public Transit System, dba: Connect Transit",Normal,IL,McLean,0,53908,19336,0,282297,0,0,0,McLean,"Bloomington, IL"
Texas State University,San Marcos,TX,Hays,193296,0,0,0,0,0,0,0,Hays,"Austin-Round Rock-Georgetown, TX"
